,Title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production companies,Distributed by,Running time,Country,Language,Running Time,Budget,Release date,Written by,Production company,Story by
17,Mercy,Chris Sparling,"['Robyn K. Bennett', 'Andrew D. Corkin', 'Kyle Franke']",,,"['James Wolk', 'Caitlin FitzGerald', 'Tom Lipinski', 'Dan Ziskie', 'Michael Godere', 'Michael Donovan']",Phil Mossman,Luca Del Puppo,"['Seth Anderson', 'Phillip Kimsey']",,Netflix,90 minutes,United States,English,90,,2016,Chris Sparling,"['XYZ Films', 'Uncorked Productions']",
18,Spectral,Nic Mathieu,Jillian Share,"['George Nolfi', 'Jamie Moss', '(uncredited)', 'John Gatins', '(uncredited)']",,James Badge Dale Max Martini Emily Mortimer Bruce Greenwood,Junkie XL,Bojan Bazelli,Jason Ballantine,,Netflix,107 minutes,United States,English,107,70000000,2016,,Legendary Pictures,Ian Fried Nic Mathieu
19,Barry,Vikram Gandhi,Vikram Gandhi Dana O'Keefe Teddy Schwarzman Ben Stillman,,,Devon Terrell Anya Taylor-Joy Jason Mitchell Ashley Judd Jenna Elfman Ellar Coltrane Avi Nash Linus Roache,Danny Bensi Saunder Jurriaans,Adam Newport-Berra,Jacob Craycroft,,Netflix,104 minutes,United States,English,104,,2016,Adam Mansbach,Black Bear Pictures Cinetic Media,
20,Coin Heist,Emily Hagins,T.J. Barrack Ash Christian Anne Clements Marshall Lewy Claire Skowronek,,"['Coin Heist', 'by Elisa Ludwig']",Sasha Pieterse Alexis G. Zall Alex Saxon Jay Walker Neal Huff Michael Cyril Creighton Mark Blum,Jeremy William Smith,Noah Greenberg,William Paley,,Netflix,97 minutes,United States,English,97,,2017,Emily Hagins,"['Adaptive Studios', 'Miramax Films']",
21,Clinical,Alistair Legrand,Ross M. Dinerstein,,,"['Vinessa Shaw', 'Kevin Rahm', 'India Eisley', 'Aaron Stanford', 'Nestor Serrano', 'Sydney Tamiia Poitier', 'Wilmer Calderon']",Ian Hultquist,John Frost,"['Blair Miller', 'Yvonne Valdez']",,Netflix,104 minutes,United States,English,104,,2017,"['Luke Harvis', 'Alistair Legrand']",Campfire,
22,Take the 10,Chester Tam,Sam Maydew,,,"['Josh Peck', 'Tony Revolori', 'Emily Chang', 'Cleopatra Coleman', 'Kevin Corrigan', 'Andy Samberg']",,"['Ricardo Jacques Gale', 'Parker Tolifson']",Robert Schafer,,Netflix,80 minutes,United States,English,80,,2017,Chester Tam,"['Blue Creek Pictures', 'Silver Lining Entertainment']",
23,iBoy,Adam Randall,Gail Mutrux Nate Bolotin Emily Leo Oliver Roskill Lucan Toh,,"['iBoy', 'by', 'Kevin Brooks']",Bill Milner Maisie Williams Jordan Bolger Charley Palmer Rothwell Aymen Hamdouchi Miranda Richardson Rory Kinnear,Max Aruj Steffen Thum,Eben Bolter,Jesse Parker,,Netflix,91 minutes,United Kingdom,English,91,,2017,Joe Barton Mark Denton Jonny Stockwood,XYZ Films Wigwam Films Pretty Pictures,
24,Imperial Dreams,Malik Vitthal,"['Jonathan Schwartz', 'Andrea Sperling', 'Katherine Fairfax Wright']",,,"['John Boyega', 'Rotimi Akinosho', 'Keke Palmer', 'Glenn Plummer', ""De'Aundre Bonds""]",Flying Lotus,Monika Lenczewska,Suzanne Spangler,,Netflix,90 minutes,United States,English,90,,2017,"['Malik Vitthal', 'Ismet Prcic']",Super Crispy Entertainment,
25,Girlfriend's Day,Michael Stephenson,Bob Odenkirk Marc Provissiero M. Elizabeth Hughes Bryan DeGuire,,,Bob Odenkirk Amber Tamblyn Rich Sommer Natasha Lyonne Toby Huss Andy Richter Stacy Keach,Bobby Tahouri,Richard Wong,Terel Gibson,,Netflix,70 minutes,United States,English,70,,2017,Bob Odenkirk Philip Zlotorynski Eric Von Hoffman,Magic Stone Productions Odenkirk Provissiero Entertainment,
26,I Don't Feel at Home in This World Anymore,Macon Blair,Mette-Marie Kongsved Neil Kopp Vincent Savino Anish Savjani,,,Melanie Lynskey Elijah Wood David Yow Jane Levy Devon Graye,Brooke Blair Will Blair,Larkin Seiple,Tomas Vengris,,Netflix,96 minutes,United States,English,96,,2017,Macon Blair,Film Science XYZ Films,
